,,v1,v2,v3
384,0.43,יש המון תיאוריות.,התיאוריות מסתעפות.,תיאוריות לא מפסיקות להגיע.
384,0.18,יש המון תיאוריות.,תיאוריות לא חסרות.,השערות רבות קיימות.
384,0.71,התיאוריות מגוונות.,אפשרויות רבות על הפרק.,ישנן תיאוריות רבות.
385,0.43,"אולי זה קשור לחור תולעת,","אנחנו יכולים לדבר על חור תולעת,","יכול להיות שמדובר בחור תולעת,"
385,0.18,"אולי זה קשור לחור תולעת,","אנחנו יכולים לדבר על
חור תולעת,","יכול להיות שמדובר בחור תולעת,"
385,0.71,"אחת התיאוריות מדברת על חור תולעת,","יתכן שמדובר בחור תולעת,","אנחנו יכולים לדבר על חור תולעת,"
386,0.43,על קונטקט עם יצורים חייזריים.,על מפגש עם יצור חייזרי מסוים.,על אינטראקציה עם חייזרים.
386,0.18,על פגישה עם יצורים חייזריים.,על אינטראקציה עם חייזרים.,"על מפגש עם חייזרים
מסוג כלשהו."
386,0.71,"על אינטראקציה עם חייזרים,","על מפגש מסוג חייזרים,","על קונטקט עם יצורים חייזריים,"
387,0.43,"אבל מה שבאמת חשוב, האם יש סכנה לנו?","אבל מה שממש מעניין, האם אנחנו בפרץ סכנה?","אבל השאלה החשובה יותר, האם אנחנו בסכנה?"
387,0.18,"אבל השאלה החשובה יותר,
האם אנחנו בסכנה?","אבל הנקודה המרכזית,
האם אנחנו בפרץ סכנה?","אבל מה שבאמת מעניין,
האם יש סכנה לנו?"
387,0.71,"אבל השאלה היא, האם אנחנו בסכנה?","אבל העיקר, אנחנו בסכנה?",השאלה המרכזית - האם יש סכנה לנו?
388,0.43,האם המטוס נפגע מנשק מסוים?,האם המטוס הותקף על ידי סוג של נשק?,האם המטוס היה מטרה לנשק כלשהו?
388,0.18,"האם ייתכן שהמטוס נפגע
מנשק מסוים?","האם המטוס נפגע
על ידי נשק מסוג כלשהו?","האם המטוס היה מטרה
לסוג כלשהו של נשק?"
388,0.71,האם ירו על המטוס באמצעות נשק מסוים?,האם המטוס היה מושא לירי על ידי סוג כלשהו של נשק?,האם המטוס נפגע מכלי נשק כלשהו?
389,0.43,או שהוא בעצמו הנשק?,או שהמטוס עצמו נחשב לנשק?,או שמא המטוס עצמו הוא הנשק?
389,0.18,או אולי המטוס עצמו הוא הנשק?,או שהוא עצמו הנשק?,או שמא המטוס עצמו הוא הנשק?
389,0.71,או אולי המטוס עצמו הוא הנשק?,או שמא המטוס בעצמו הוא הנשק?,או שהוא עצמו הנשק?
390,0.43,אנחנו בכלל יודעות אם אלו אותן אנשיות,אנחנו בכלל יודעים אם אלו אותם אנשים,יש לנו מושג אם אלה אותם אנשים
390,0.71,"אנחנו בכלל יודעים
אם אלה אותם אנשים","אנחנו בכלל בטוחים
שאלו אותם אנשים","יש לנו דרך לדעת
אם הם אותם אנשים"
390,0.18,"אנחנו בכלל יודעים
אם אלה אותם אנשים","האם אנחנו בטוחים
שהם אותם אנשים","יש לנו דרך לדעת
אם הם אותם אנשים"
391,0.43,שהיו על אותו מטוס בשנת 2013?,שהיו באותו מטוס ב-2013?,שנסעו באותו מטוס ב-2013?
391,0.71,"שנכחו באותו מטוס
בשנת 2013?","שהיו במטוס הזה
ב-2013?","שעלו על המטוס
בשנת 2013?"
391,0.18,"שנסעו במטוס ההוא
בשנת 2013?","שהיו על המטוס ההוא
בשנת 2013?","שהיו באותו מטוס
ב-2013?"
392,0.43,ביצענו בדיקות מקיפות של הנוסעים,ערכנו בדיקות מקיפות של הנוסעים,בדקנו דגימות מקיפות של הנוסעים
392,0.71,"לקחנו דגימות מלאות
של הנוסעים ובדקנו","ערכנו בדיקות מקיפות
לדגימות הנוסעים","בדקנו דגימות מקיפות
של הנוסעים"
392,0.18,"ערכנו בדיקות מקיפות
על הנוסעים","לקחנו דוגמאות מהנוסעים
ובדקנו אותם בקפידה","בדקנו דוגמאות מקיפות
של הנוסעים"
393,0.43,ולא מצאנו שום חריגים.,ולא התגלו שום חריגות.,ולא גילינו שום חריגות.
393,0.71,"ולא מצאנו
שום סטיות.","ולא התגלו
בהם כל חריגות.","ולא זיהינו
חריגות כלשהן."
393,0.18,"ולא הבחנו
בשום דבר חריג.","ולא זיהינו
שום אנומליות.","ולא מצאנו
שום חריגות."
394,0.43,אנחנו מדברים על ביטחון לאומי.,מדובר בביטחון לאומי.,זה עניין של ביטחון לאומי.
394,0.71,מדובר בביטחון לאומי.,"זה עניין של
ביטחון לאומי.","אנחנו מדברים על
ביטחון המדינה."
394,0.18,מדובר בביטחון הלאומי שלנו.,אנחנו מדברים על ביטחון לאומי.,זה עניין של ביטחון לאומי.
395,0.43,צריך להחזיק אותם במעצר,הם אמורים להיות מוחזקים במעצר,אמורים להחזיק אותם במעצר
395,0.71,הם צריכים להיכלא,"הם אמורים להיות
במעצר","הם אמורים להיות
תחת מעצר"
395,0.18,צריך להכניס אותם לכלא,הם צריכים להיות מאחורי סורג ובריח,הם אמורים להיות במעצר
396,0.43,עד שנוכל להחליט אם הם איום עלינו.,עד שנקבע אם הם מהווים איום.,עד שנוכל לקבוע אם הם מהווים איום או לא.
396,0.71,"עד שנוכל לקבוע
אם הם מהווים איום או לא.","עד שנבין
אם יש בהם סיכון.","כדי שנוכל להחליט
אם הם מהווים סכנה."
396,0.18,"עד שנבין
אם הם מסוכנים.","עד שנוכל לקבוע
אם הם מהווים איום או לא.","עד שנגלה
אם יש בהם סכנה."
397,0.43,"דירקטור היוז, זה עדיין אמריקה. לאנשים האלה יש זכויות.","דירקטור היוז, אנחנו עדיין באמריקה. יש לאותם אנשים זכויות.","דירקטור היוז, עדיין אנחנו באמריקה. יש לאנשים האלה זכויות."
397,0.71,"מנהל היוז, זה עדיין אמריקה. לאנשים האלה יש זכויות.","דירקטור היוז, אנחנו עדיין באמריקה. יש לאנשים האלה זכויות.","מנהל היוז, אנחנו עדיין בארצות הברית. לאנשים הללו יש זכויות."
397,0.18,"דירקטור היוז, אנחנו עדיין באמריקה.
יש לאנשים האלה זכויות.","דירקטור היוז, אנו עדיין בארצות הברית.
לאותם אנשים יש זכויות.","דירקטור היוז, זה עדיין אמריקה.
לאנשים האלה יש זכויות."
398,0.43,"אני חושד שאם מישהו יש לו תשובות,","אני חושב שאם יש מישהו עם תשובות,","אני מניח שאם מישהו יודע משהו,"
398,0.71,"אני סבור
שאם מישהו יש לו הסברים,","אני מניח
שאם מישהו יודע משהו,","אני חושב
שאם מישהו יש לו תשובות,"
398,0.18,"אני מניח
שאם יש מישהו עם תשובות,","אני חושב
שאם מישהו יש לו תשובות,","אני משער
שאם יש מישהו שיודע,"
399,0.43,"הוא אחד מהנוסעים במטוס ההוא,","זה מישהו מאותו מטוס,","זה ודאי מישהו שהיה על המטוס,"
399,0.71,"זה מישהו מאותו מטוס,","זה בוודאי מישהו שהיה במטוס ההוא,","זה בטח אחד מהנוסעים שם,"
399,0.18,"זה בוודאי מישהו שהיה על המטוס,","זה אחד מהנוסעים במטוס,","זה מישהו מהמטוס ההוא,"
400,0.43,כנראה מישהו שהיה עומד מאה יארדים מהמקום,כנראה מישהו שמצאנו עומד מאה יארדים משם,בדרך כלל מישהו שנתקלנו בו מאה יארדים משם
400,0.71,"סביר להניח מישהו שגילינו
במרחק 100 יארד","בדרך כלל מישהו שמצאנו
במרחק 100 יארד משם","לרוב מישהו שהיה עומד
100 יארדים משם"
400,0.18,"בסבירות גבוהה מישהו שהיה
עומד מאה יארד מהמקום","סביר להניח שמדובר במישהו
שנתפס מאה יארד משם","כנראה מישהו שמצאנו
עומד מאה יארד משם"
401,0.43,"כשהוא התפוצץ לרסיסים, וזה משאיר 20 אנשים.","כשהתפוצץ לחתיכות, דבר שמותיר 20 אנשים.","ברגע שהוא התפוצץ, מה שמשאיר 20 אנשים."
401,0.71,"כשהוא התפוצץ לרסיסים,
וזה מותיר 20 אנשים.","כשזה התפוצץ לחלקים,
מה שמשאיר אותנו עם 20 אנשים.","ברגע שהוא התפוצץ,
וזה מצמצם את זה ל-20 אנשים."
401,0.18,"כשהוא התפוצץ לרסיסים,
וזה משאיר 20 אנשים.","כשהתפוצץ לגזרים,
מה שמותיר לנו 20 אנשים.","ברגע שהתפוצץ לחלקים,
וזה מצמצם את הרשימה ל-20 אנשים."
402,0.71,♫♫,,
403,0.43,אין ספק שהתבלבלנו.,כמובן שהתבלבלנו.,ברור שהיינו מבולבלים.
403,0.71,כמובן שלא היה לנו ברור.,כמובן שהתבלבלנו.,ברור שהיינו מבולבלים.
403,0.18,כמובן שהתבלבלנו.,ברור שהיינו מבולבלים.,זה הגיוני שהתחלנו להתבלבל.
404,0.43,"מה, נהייתה שף?","מה, עכשיו את מבשלת?","מה, פתאום אתה מבשל?"
404,0.71,"מה, מתי התחלת לבשל?","מה, עכשיו את מבשלת?","מה, פתאום אתה מבשל?"
404,0.18,"מה קרה, נהיית מבשלת?","איך זה, פתאום את מבשלת?","מה, עכשיו את מבשלת?"
405,0.43,דווקא כשחשבתי שהמצב לא יכול להיות יותר מוזר.,בדיוק כשחשבתי שהדברים לא יכולים להיות יותר מוזרים.,רק כשחשבתי שזה לא יכול להיות יותר מוזר.
405,0.71,בדיוק כשחשבתי שזה לא יכול להיות יותר מוזר.,דווקא כשחשבתי שהדברים לא יכולים להיות יותר מוזרים.,רק כשחשבתי שהמצב לא יכול להסתבך יותר.
405,0.18,בדיוק כשחשבתי שהמצב לא יכול להיות יותר מוזר.,בדיוק כשחשבתי שהסיטואציה לא יכולה להיות יותר מוזרה.,בדיוק כשחשבתי שהדברים לא יכולים להיות יותר מוזרים.
406,0.43,"אהלן, תודה על הקשר בכלא.","היי, תודה על העזרה עם הכלא.","היי, תודה על הווסת."
406,0.71,"אהלן, תודה על הקשר בכלא.","היי, תודה על הווסתה בכלא.","היי, תודה על העזרה עם המעצר."
406,0.18,"היי, תודה על העזרה עם הכלא.","היי, תודה על הסידור בכלא.","היי, תודה על הקשר בכלא."
407,0.43,איך הולך לבן של ראד?,איך מצבו של בן של ראד?,מה קורה עם בן של ראד?
407,0.71,איך הולך לבן של ראד?,כיצד מצבו של בן של ראד?,מה המצב של בן של ראד?
407,0.18,"מה עם בן של ראד, איך הוא?",איך מצבו של בן של ראד?,מה קורה עם בן של ראד?
408,0.43,הפנים שלו פשוט חתיכת מכות.,הוא עם פנים מדולדלות.,הפנים שלו כולם מפוצצים.
408,0.71,הפנים שלו נפצעו קשה.,הוא עם פנים מדולדלות.,פניו נפגעו רע.
408,0.18,הפנים שלו כולם מוכים.,הוא עם פנים מוכות.,הפנים שלו מוכות לגמרי.
409,0.43,זה מסוכן שם בפנים.,זה לא בטוח שם בפנים.,אין שם בטחון.
409,0.71,אין שם ביטחון.,זה מסוכן שם.,זה לא בטוח שם בפנים.
409,0.18,שם בפנים זה לא מקום בטוח.,בפנים זה לא בטוח.,זה לא בטוח שם בפנים.
410,0.43,"כן, אבל אם הוא יגיע למעלה לאחר הרשעה,","כן, אבל אם יתפסו אותו וישלחו אותו לכלא המדינתי,","כן, אבל אם הוא יורשע ויעבור למעלה למדינה,"
410,0.71,"כן, אבל אם יגזרו עליו דין וישלחו אותו צפונה,","כן, אבל אם הוא יורשע ויעבור לצפון,","כן, אבל אם יחליטו להרשיע אותו והוא ילך למעלה,"
410,0.18,"כן, אבל אם יורשע וישלח לצפון,","כן, אבל אם הוא יורשע ויעלה לצפון,","כן, אבל אם יגיע למצב שהוא יורשע ויעבור לצפון,"
411,0.43,הכלא שהוא בו כרגע יהיה כמו חופשה ביחס למה שמחכה לו.,המקום שהוא בו עכשיו יראה כמו מועדון נופש.,המקום שבו הוא נמצא עכשיו יהפוך להרגיש כמו מועדון כפרי.
411,0.71,המקום שהוא בו כרגע יראה כמו מועדון כפרי.,המקום בו הוא נמצא עכשיו ייתפס כמו חופשה בקאנטרי.,המקום שבו הוא עכשיו יהיה כמו נופש במועדון.
411,0.18,המקום שהוא בו עכשיו יהיה כמו פיקניק לעומת מה שבא.,המקום שהוא בו עכשיו יראה כמו מועדון כפרי.,המקום שבו הוא נמצא עכשיו יהיה כמו חופשה לעומת מה שמחכה לו.
412,0.43,אני כל כך רוצה שהילד הזה יהיה חף מפשע בשביל אבא שלו.,אני כל כך מקווה שהוא יהיה חף מפשע בשביל האבא שלו.,אני ממש מקווה שהילד הזה יתברר כחף מפשע בשביל אביו.
412,0.71,"אני מאוד רוצה שהילד הזה לא יהיה אשם, בשביל האב.",אני כל כך רוצה שהילד הזה יהיה חף מפשע בשביל אביו.,אני ממש מקווה שהילד הזה יתגלה כחף מאשמה בשביל אביו.
412,0.18,אני כל כך רוצה שהילד הזה יהיה חף מפשע בשביל אבא שלו.,"אני באמת רוצה שהילד הזה לא יהיה אשם, בשביל האב שלו.",אני ממש מקווה שהילד הזה יתגלה כחף מפשע בשביל אביו.
413,0.43,"היי, תוכלי להוציא את התיק","היי, יש אפשרות לגשת לתיק","היי, אפשר להוציא את המסמכים"
413,0.71,"היי, תוכל לשלוף את התיק","היי, יש אפשרות להוציא את הקובץ","היי, אתה יכול להוציא את התיק"
413,0.18,"היי, תוכל לשלוף את התיק","היי, אתה יכול להוציא את התיק","היי, אפשר להביא את התיק"
414,0.43,ולבדוק אם השוטרים או התובע עשו קיצורי דרך?,ולראות אם המשטרה או התובע חצו קווים?,ולברר אם המשטרה או התובע עברו על החוק?
414,0.71,ולראות אם המשטרה או התובע עברו על החוק?,ולבדוק אם השוטרים או התובע עשו קיצורי דרך?,ולברר אם המשטרה או התובע ניסו לקצר תהליכים?
414,0.18,ולבדוק אם השוטרים או התובע עשו קיצורי דרך?,ולראות אם המשטרה או התובע חצו קווים?,ולברר אם המשטרה או התובע עברו על החוק?
415,0.43,"אז מה, המשטרה אשמה?",אז הכל באשמת המשטרה?,אז זה -- זו אשמת המשטרה?
415,0.71,אז הפקפוק הוא -- במשטרה?,אז זו -- זו טעות של המשטרה?,אז האשם הוא -- המשטרה?
415,0.18,אז זה -- זו טעות של המשטרה?,"אז מה, האשמה זו על המשטרה?",אז הכל טעות של המשטרה?
416,0.43,אני רק מנסה לחשוב בקול רם.,אני רק משחק עם הרעיונות כאן.,אני רק מטיל רעיונות.
416,0.71,אני רק מנסה להטיל רעיונות.,אני רק זורק רעיונות.,אני פשוט משתף פעולה כאן.
416,0.18,אני רק מנסה לחשוב בקול רם.,אני רק משחק עם הרעיונות כאן.,אני רק מטיל רעיונות.
417,0.43,נראה לי לא הוגן שהטיסה הזו,לא נראה לי הוגן שהטיסה הזו,זה לא נשמע הוגן שהטיסה הזאת
417,0.71,נדמה לא צודק שהטיסה הזו,נראה לא הוגן שהטיסה הזו,לא נשמע הוגן שהטיסה הזאת
417,0.18,זה לא מרגיש הוגן שהטיסה הזו,נראה לי לא הוגן שהטיסה הזאת,לא נראה הוגן שהטיסה הזו
418,0.43,כנראה הצילה את חיי הילד שלי אך שמה בסיכון את חייהם של אחרים.,אולי הצילה את חיי הילד שלי אבל סיכנה את של מישהו אחר.,ייתכן שהצילה את הילד שלי אבל הכניסה בסכנה את חייו של מישהו אחר.
418,0.71,אולי הצילה את חיי הילד שלי אבל הסכינה מישהו אחר.,ייתכן שהצילה את חיי הילד שלי אך חשפה אחרים לסכנה.,אולי הצילה את הילד שלי אבל סיכנה אחרים.
418,0.18,אולי הצילה את הילד שלי אבל חשפה לסכנה את של אחר.,אולי הצילה את חיי הילד שלי אבל סיכנה את של מישהו אחר.,יכולה להיות שהצילה את הילד שלי אבל הכניסה בסכנה את של אחר.
419,0.43,שמעת משהו דומה למה שקרה בפעם הקודמת.,שמעת משהו כמו בפעם האחרונה.,שמעת משהו בסגנון של הפעם הקודמת.
419,0.71,שמעת משהו כמו בפעם האחרונה.,שמעת משהו דומה למה שקרה בפעם האחרונה.,שמעת דברים כמו בפעם הקודמת.
419,0.18,שמעת משהו דומה למה שהיה בפעם הקודמת.,שמעת משהו כמו בפעם האחרונה.,שמעת משהו בסגנון של הפעם הקודמת.
420,0.71,לא ממש.,לא בדיוק.,זה לא כזה.
420,0.43,לא ממש.,לא בדיוק.,זה לא כזה.
420,0.18,לא בדיוק.,זה לא ממש ככה.,לא כל כך.
421,0.71,"אבל כל מה שזה היה,
ומה שזה עכשיו,","אבל מה שזה לא היה,
מה שזה שזה עכשיו,","אבל לא משנה מה זה היה,
מה שזה עכשיו,"
421,0.43,"אבל לא משנה מה זה היה,
מה שזה כרגע,","אבל מה שזה לא היה,
מה שזה עכשיו,","אבל לא משנה מה זה היה,
מה שזה עכשיו,"
421,0.18,"אבל לא משנה מה קרה,
מה שקורה עכשיו,","אבל מה שזה לא היה,
מה שזה עכשיו,","אבל לא משנה מה זה היה,
מה שזה עכשיו,"
422,0.71,"אני חייב לחקור
עד הסוף.","אני מוכרח לגלות
מה קורה כאן.","אני חייב להבין
מה קורה פה."
422,0.43,אני חייב לגלות מה קורה כאן.,אני חייב להבין מה קורה פה.,אני חייב לחקור את זה עד הסוף.
422,0.18,אני חייב לחקור את זה עד הסוף.,אני חייב להגיע לשורש העניין.,אני חייב לגלות מה באמת קרה.
423,0.71,"לא, בן, לא הכול
צריך להיות חידה שאתה פותר.","לא, בן, לא כל דבר הוא
פאזל שאתה צריך לפתור.","לא, בן, לא הכל הוא
חידה שאתה צריך לפתור."
423,0.43,"לא, בן, לא הכול חידה שצריך לפתור.","לא, בן, לא הכל הוא חידה שאתה צריך לפתור.","לא, בן, לא כל דבר זו חידה שאתה חייב לפתור."
423,0.18,"לא, בן, לא כל דבר זה משהו שאתה צריך לפתור.","לא, בן, לא הכל הוא חידה שאתה צריך לפתור.","לא, בן, לא כל דבר הוא פאזל שאתה חייב להרכיב."
424,0.71,זה לא על פתרון חידה.,זה לא על פתרון פאזל.,זה לא בשביל לפתור פאזל.
424,0.43,זה לא בשביל לפתור חידה.,זה לא קשור לפתרון חידה.,זה לא עניין של לפתור חידה.
424,0.18,זה לא על פתרון פאזל.,זה לא קשור לפתרון חידות.,זה לא עניין של לפתור חידה.
425,0.71,"זה להבין את
המהות של חיי -- שלנו.","זו הבנה של מה
החיים שלי הפכו להיות -- שלנו.","זה להבין מה
חיי הפכו להיות -- חיינו."
425,0.43,זה להבין מה החיים שלי הפכו להיות -- החיים שלנו.,זה להבין איך החיים שלי השתנו -- שלנו.,זה להבין את המציאות החדשה שלי -- שלנו.
425,0.18,זה להבין מה החיים שלי הפכו להיות -- החיים שלנו.,זה להבין את המציאות החדשה שלי -- שלנו.,זה להבין את המצב החדש של חיינו -- שלי ושלך.
426,0.71,♪♪,,
426,0.43,♪♪,,
426,0.18,♪♪,,
427,0.71,"אם לא נוכל להשיב על כך,","אם לא נוכל לענות על זה,","אם אנחנו לא נמצא את התשובה לזה,"
427,0.43,"אם אנחנו לא נמצא תשובה לזה,","אם לא נצליח להשיב על זה,","אם לא נוכל לענות על זה,"
427,0.18,"אם לא נמצא תשובה לזה,","אם לא נוכל לענות על זה,","אם אנחנו לא יכולים להשיב על זה,"
428,0.71,"לעולם לא נצליח
לחזור לנורמליות.","לעולם לא נוכל
לחזור לחיים רגילים.","אנחנו לעולם לא נוכל
לחזור לשגרה."
428,0.43,לעולם לא נוכל לחזור לחיים כרגיל.,לעולם לא נחזור למצב נורמלי.,אנחנו לעולם לא נוכל לחזור לשגרה.
428,0.18,לעולם לא נוכל לחזור לחיים נורמליים.,לעולם לא נוכל לשוב למצב רגיל.,אנחנו לעולם לא נוכל לחזור לשגרה.
429,0.71,סיפרת לגרייס?,הודעת לגרייס?,אמרת לגרייס?
429,0.43,האם דיברת עם גרייס על זה?,סיפרת לגרייס?,אמרת לגרייס?
429,0.18,סיפרת לגרייס?,הודעת לגרייס?,אמרת לגרייס?
430,0.71,לא סיפרתי.,לא.,
430,0.43,לא סיפרתי.,לא דיברתי על זה.,לא.
430,0.18,לא סיפרתי.,לא הודעתי.,לא.
431,0.71,יש לה מספיק דאגות על הראש.,יש לה מספיק בצלחת.,היא כבר מתמודדת עם מספיק.
431,0.43,היא כבר מספיק מטורפת.,יש לה מספיק בעיות.,יש לה מספיק דברים על הראש.
431,0.18,יש לה מספיק בעיות כרגע.,היא כבר מתמודדת עם מספיק דברים.,יש לה מספיק דברים על הראש.
432,0.71,♪♪,,
432,0.43,♪♪,,
432,0.18,♪♪,,
433,0.71,אלו לא אותו הדבר.,הדברים האלה שונים.,זה לא אותו הדבר.
433,0.43,הדברים האלה לא זהים.,זה לא אותו הדבר.,אלה לא אותו הדברים.
433,0.18,זה לא אותו הסיפור.,אלה לא אותו הדבר.,זה לא זהה.
434,0.71,נכון?,אה?,באמת?
434,0.43,נכון?,ממש?,באמת?
434,0.18,בטוח?,ממש?,באמת?
435,0.71,נוכל לנסות בחנות אחרת מחר.,אולי נמצא מזל בחנות אחרת מחר.,אז ננסה חנות אחרת מחר.
435,0.18,אז נוכל לנסות חנות אחרת מחר.,אז ננסה בחנות אחרת מחר.,אז נפנה לחנות אחרת מחר.
435,0.43,אז נוכל לנסות חנות אחרת מחר.,מחר נוכל לבדוק חנות אחרת.,אז יש לנו אפשרות לנסות בחנות אחרת מחר.
436,0.71,הכל מוכן לאכילה. אוליב!,"בסדר, הארוחה מוכנה. אוליב!","יאללה, ארוחת הערב על השולחן. אוליב!"
436,0.18,"טוב, הארוחה על השולחן. אוליב!","בסדר, הארוחה מוכנה. אוליב!","אוקיי, כולם לשולחן. אוליב!"
436,0.43,"הכל מוכן, זמן ארוחה. אוליב!","טוב, הארוחה על השולחן. אוליב!","בסדר, הארוחה מוכנה. אוליב!"
437,0.71,תתן פה למעלה.,חתיכת יד למעלה.,למעלה גבוה.
437,0.18,גבוה יותר.,תתן חמישיה למעלה.,למעלה גבוה.
437,0.43,תתן פה חמישיה.,קח את זה גבוה.,למעלה גבוה.
438,0.71,ריחות נפלאים עולים מזה.,זה ממש ריחני.,איזה ריח מדהים.
438,0.18,איזה ריח נפלא.,ממש מפיץ ריח טוב.,זה ממש מפיץ ריח מדהים.
438,0.43,זה מריח מדהים.,ממש מריח טעים פה.,איזה ריח נפלא.
439,0.71,"נו, אחרי שנסיים לאכול,","איך אתם אומרים, אחרי הארוחה,","היי, מה דעתכם אחרי הארוחה,"
439,0.18,"אהלן, אולי אחרי הארוחה,","היי, מה דעתכם אחרי הארוחה,","היי, אולי לאחר הארוחה,"
439,0.43,"נו, אולי אחרי הארוחה,","היי, מה דעתך אחרי הארוחה,","איך אתה אומר לזה אחרי הארוחה,"
440,0.71,מה אתם אומרים על ריצה לגלידריה כמו פעם?,נעשה סיבוב גלידה רטרו?,נצא לסיבוב גלידות כמו בימים הישנים?
440,0.18,נעשה סיבוב גלידה סטייל ישן?,נצא לסיבוב גלידה כמו בימים הישנים?,נקפוץ לגלידה כמו בימים הטובים?
440,0.43,מה אתה אומר על סיבוב גלידה כמו בימים הטובים?,נעשה סיבוב גלידה סטייל רטרו?,נצא לסיבוב גלידות כמו בימים הישנים?
441,0.71,"את עדיין אוהבת גלידה, נכון?","עדיין אוהבים גלידה, נכון?","אתה עדיין אוהב גלידה, נכון?"
441,0.18,"אתם עדיין בעניין של גלידה, נכון?","עדיין אוהבים גלידה, נכון?","גלידה עדיין מדברת אליכם, נכון?"
441,0.43,"גלידה עדיין ברשימת האהבות שלך, נכון?","אתה עדיין מת על גלידה, נכון?","עדיין אוהב גלידה, נכון?"
442,0.71,אני צריכה ללמוד.,יש לי לימודים.,אני חייבת להתכונן למבחנים.
442,0.18,אני צריכה ללמוד.,יש לי לימודים.,אני חייבת להתכונן למבחנים.
442,0.43,אני צריכה ללמוד.,יש לי לימודים.,אני חייבת להתכונן למבחנים.
443,0.71,בזמן הקרוב.,בקרוב.,ממש בקרוב.
443,0.18,בזמן הקרוב.,בקרוב.,מתישהו בקרוב.
443,0.43,בזמן הקרוב.,בקרוב.,מתישהו בקרוב.
444,0.71,לא לה,לה לה,לה לה לה
445,0.71,לא לה,לה לה,לה לה לה
446,0.71,אה!,אוי!,אוח!
446,0.18,אה!,אוי!,אוץ!
446,0.43,אה!,אוי!,אוץ!
447,0.71,"אה, בואי לכאן.","אה, תגיע לכאן.","אה, תגיעי לכאן."
447,0.18,"אה, תקרבו לכאן.","אה, תגיעו לכאן.","אה, בואו לכאן."
447,0.43,"אה, תגיע לכאן.","אה, תקרב לכאן.","אה, בוא לכאן."
448,0.71,בוא לכאן.,תגיעי לכאן.,תגיע לכאן.
448,0.18,תקרבו לכאן.,תגיעו לכאן.,בואו לכאן.
448,0.43,בוא לכאן.,תקרב לכאן.,תגיע לכאן.
449,0.71,אתם אמורים להיות במיטה! בואו לכאן.,אמורה להיות במיטה! בואי לכאן.,אתה אמור להיות במיטה! בוא לכאן.
449,0.18,אמורים להיות במיטה כבר! תקרבו לכאן.,הייתם צריכים להיות במיטה! בואו לכאן.,אתם אמורים להיות במיטה! בואו לכאן.
449,0.43,היית אמור להיות במיטה כבר! בוא לכאן.,"אמור היית להיות במיטה, תגיע לכאן.",אתה אמור להיות במיטה! בוא לכאן.
450,0.43,גרר!,אנח!,אורר!
450,0.18,גרר!,גררר!,ארר!
450,0.71,גרר!,אנח!,אורר!
451,0.43,גרם!,זעם!,רואר!
451,0.18,גאור!,רואר!,ראוור!
451,0.71,גרר!,אנחנח!,ראוור!
452,0.43,נעימה,מנגינה,לללי
452,0.18,♫♫,♪♫,♪♪
452,0.71,מוזיקה ♪♪,נעימה ♪♪,♪♪
453,0.43,"אלוהים, אנחנו הורים למתבגרת.","אלוהים שלי, אנחנו ההורים של נערה בתנועה.","אנחנו ההורים של נערה בגיל ההתבגרות, אלוהים."
453,0.18,"אלוהים, אנחנו הוריים למתבגרת.","אלוהי, אנו הוריה של נערה בתחילת דרכה.","אלוהים שלי, אנחנו ההורים של בת מתבגרת."
453,0.71,"אלוהי, אנחנו הוריה של נערה בת עשרה.","איי, אנחנו הורים לנערה בת-עשרה.","אלוהים שלי, אנחנו ההורים של נערה בתחילת שנות העשרה."
454,0.43,תודה לאל שפספסת את ההתבגרות.,תהיה שמח שלא חווית את ההתבגרות.,תודה לשמיים שלא ראית את ההתבגרות.
454,0.18,תודה לאל שפספסת את ההתבגרות.,תהיה שמח שלא חווית את הגיל המתבגר.,תודה לשמיים שלא חווית את הפוברטה.
454,0.71,תודה לשמיים שלא עברת את ההתבגרות שלה.,תודה לאל שפספסת את ההתבגרות.,תהיה תודה שלא חווית את הגיל ההתבגרות.
455,0.43,איכס.,אוי.,אוץ.
455,0.18,איי.,אוי.,אוץ.
455,0.71,איי.,אוץ.,כאב.
456,0.43,איך זה עבר עליך?,איך זה התרחש?,איך זה קרה?
456,0.18,איך זה התרחש?,איך זה קרה?,איך זה עבר עלינו?
456,0.71,איך זה הסתדר?,איך הגענו לזה?,איך זה קרה?
457,0.43,"האמת?
בצלילה.","אה.
בצלילה, למעשה.","אוה.
זה היה בצלילה."
457,0.18,"אה.
צלילה עם ציוד, למעשה.","אופס.
בעצם, צלילה.","האמת?
צלילה עם ציוד."
457,0.71,"אוה.
זה בגלל הצלילה.","אה.
בגלל צלילה תת-מימית, למעשה.","האמת?
צלילה תת-מימית."
458,0.43,איך אמרת?,מה זה?,סליחה?
458,0.18,איך בבקשה?,מה אמרת?,סליחה?
458,0.71,מה אמרת?,אפשר לחזור על זה?,סליחה?
459,0.43,כמה פעמים חלמתי שנצלול יחד?,כמה פעמים רציתי שננסה לצלול יחד?,כמה פעמים ביקשתי ממך לנסות צלילה?
459,0.18,כמה פעמים ביקשתי ממך לנסות צלילה?,כמה זמן חיכיתי שנצלול יחד?,כמה פעמים רציתי שננסה לצלול?
459,0.71,כמה פעמים ביקשתי ממך שנלך לצלילה?,כמה פעמים רציתי שננסה לצלול?,כמה זמן חיפשתי שניסה לצלול יחד?
